Type,Record ID,Record Name,DynamoDB Table,Image Field,Current Project Path,To-be Project Path,S3 Key,Result,Notes
brand,aqara,Aqara,rsa_brands,brand_logo_path,assets/images/brands/aqara.png,/api/media/brands/2026/06/aqara.png,brands/2026/06/aqara.png,UPDATED,
brand,arlo,Arlo,rsa_brands,brand_logo_path,assets/images/brands/arlo.png,/api/media/brands/2026/06/arlo.png,brands/2026/06/arlo.png,UPDATED,
brand,avtech,AVTech,rsa_brands,brand_logo_path,assets/images/brands/avtech.png,/api/media/brands/2026/06/avtech.png,brands/2026/06/avtech.png,UPDATED,
brand,axis,Axis Communications,rsa_brands,brand_logo_path,assets/images/brands/axis.png,/api/media/brands/2026/06/axis.png,brands/2026/06/axis.png,UPDATED,
brand,bosch,Bosch,rsa_brands,brand_logo_path,assets/images/brands/bosch.png,/api/media/brands/2026/06/bosch.png,brands/2026/06/bosch.png,UPDATED,
brand,cisco,Cisco,rsa_brands,brand_logo_path,assets/images/brands/cisco.png,/api/media/brands/2026/06/cisco.png,brands/2026/06/cisco.png,UPDATED,
brand,d-link,D-Link,rsa_brands,brand_logo_path,assets/images/brands/dlink.png,/api/media/brands/2026/06/dlink.png,brands/2026/06/dlink.png,SKIP_MISSING_S3,
brand,dlink,D-Link,rsa_brands,brand_logo_path,assets/images/brands/dlink.png,/api/media/brands/2026/06/dlink.png,brands/2026/06/dlink.png,SKIP_MISSING_S3,
brand,eufy,Eufy,rsa_brands,brand_logo_path,assets/images/brands/eufy.png,/api/media/brands/2026/06/eufy.png,brands/2026/06/eufy.png,UPDATED,
brand,ezviz,EZVIZ,rsa_brands,brand_logo_path,assets/images/brands/ezviz.png,/api/media/brands/2026/06/ezviz.png,brands/2026/06/ezviz.png,UPDATED,
brand,hanwha,Hanwha,rsa_brands,brand_logo_path,assets/images/brands/hanwha.png,/api/media/brands/2026/06/hanwha.png,brands/2026/06/hanwha.png,UPDATED,
brand,igloohome,igloohome,rsa_brands,brand_logo_path,assets/images/brands/igloohome.png,/api/media/brands/2026/06/igloohome.png,brands/2026/06/igloohome.png,UPDATED,
brand,imou,Imou,rsa_brands,brand_logo_path,assets/images/brands/imou.png,/api/media/brands/2026/06/imou.png,brands/2026/06/imou.png,UPDATED,
brand,mercusys,Mercusys,rsa_brands,brand_logo_path,assets/images/brands/mercusys.png,/api/media/brands/2026/06/mercusys.png,brands/2026/06/mercusys.png,UPDATED,
brand,panasonic,Panasonic,rsa_brands,brand_logo_path,assets/images/brands/panasonic.png,/api/media/brands/2026/06/panasonic.png,brands/2026/06/panasonic.png,UPDATED,
brand,seagate,Seagate,rsa_brands,brand_logo_path,assets/images/brands/seagate.png,/api/media/brands/2026/06/seagate.png,brands/2026/06/seagate.png,UPDATED,
brand,tplink,TP-Link,rsa_brands,brand_logo_path,assets/images/brands/tplink.png,/api/media/brands/2026/06/tplink.png,brands/2026/06/tplink.png,SKIP_MISSING_S3,
brand,unifi,UniFi,rsa_brands,brand_logo_path,assets/images/brands/unifi.png,/api/media/brands/2026/06/unifi.png,brands/2026/06/unifi.png,UPDATED,
brand,uniview,Uniview,rsa_brands,brand_logo_path,assets/images/brands/uniview.png,/api/media/brands/2026/06/uniview.png,brands/2026/06/uniview.png,SKIP_MISSING_S3,
